Name,StreetName,Highway,Width,Points
Road_0083,Eisheiligenstrae,residential,6,-111693.6:88604|-110982.1:88048.6|-110608.4:87497.5|-108964.4:86187.3
Road_0084,Eisheiligenstrae,footway,2,-108964.4:86187.3|-107556.7:85221
Road_0085,Baadenberger Strae,residential,6,-112914.2:72273.4|-104963.5:83511.2|-104106.2:84454
Road_0086,Baadenberger Strae,residential,6,-115701.6:68397.2|-112914.2:72273.4
Road_0087,Baadenberger Strae,residential,6,-111296.8:71107.9|-114130.5:67271.8
Road_0088,Lichtenbergstrae,residential,6,-112914.2:72273.4|-111296.8:71107.9|-104199.4:66230.9|-98390.5:62008.6
Road_0089,Tieckstrae,residential,6,-122789.9:39735.7|-111819.8:55487.5
Road_0090,Winckelmannstrae,residential,6,-87698.7:73875.3|-89749.3:75132.1
Road_0091,Winckelmannstrae,residential,6,-89749.3:75132.1|-95177.6:78490.6|-104106.2:84454
Road_0092,Arnimstrae,residential,6,-83767.3:78780.1|-87698.7:73875.3
Road_0093,Arnimstrae,residential,6,-89749.3:75132.1|-90984.6:73263|-97367:63568.2|-98390.5:62008.6
Road_0094,Arnimstrae,residential,6,-87698.7:73875.3|-89112.8:71946.1|-90984.6:73263
Road_0095,,path,2,-61729:57441.1|-62854.2:58306.1|-64496:59771
Road_0096,Winckelmannstrae,service,4,-83711.2:71296|-87698.7:73875.3
Road_0097,,path,2,21919.1:182050.5|22998:180267.2|23643:178998.1|24178.6:177546.5|24518.6:176268.5|24546.6:175366.8|24374.2:174054.4|23767.1:172148.6|23242:170779.4|22599.1:169331.1|21362.4:167219.3|20245:165607.4|19169.6:164318.3|18289:163455.6|17334.9:162730.9|16126.3:162157.6|15302.6:162060.8|14472.5:162300.1|11890.5:163923.2
Road_0098,Dechenstrae,residential,6,-165402.6:83929.7|-161170.4:86055.9|-158784:87486.4|-154715.8:90148
Road_0099,Dechenstrae,footway,2,-145211.6:96287.3|-145377.1:97588.7|-143834.1:98629.5|-141601.2:100039.9|-141029.1:100485.2
Road_0100,Iltisstrae,tertiary,8,-175570:34796.4|-175837.1:34157.4|-175912.1:33979.3|-176229.6:33376|-177056.2:32123.6|-177464.2:31370|-177886.9:30349.2|-180334.3:26656.7
Road_0101,Dechenstrae,service,4,-165706.2:84796.9|-169776.5:82680.7
Road_0102,Jakob-Schupp-Strae,service,4,-179683.7:40856.7|-179927.7:40108.6|-179092:38147.1
Road_0103,Jakob-Schupp-Strae,footway,2,-179092:38147.1|-177201.3:34157.4|-177049.9:33889.1
Road_0104,,footway,2,-167291.9:99817.3|-161900.9:87704.6|-161170.4:86055.9
Road_0105,,path,2,-164926.6:82715.2|-168479.5:81022|-170931.1:79926.6|-173528.5:78830.1|-176986.1:77370.7|-179933.3:76394.5|-182567.2:75731|-185145.6:74901.7|-186669.7:74262.7|-188089.3:73416.7|-190580.2:72665.2|-192524.2:72167.6|-199219.9:71034.4|-199919.6:70996.6|-200865.3:70870.8|-203157:70461.1|-205099.6:70039.2|-206496.1:69538.3|-207983.8:68840.3|-209762.3:67790.5|-211178.5:66891.1
Road_0106,,path,2,-199225.5:106263.8|-195081.6:97669.9|-194435.3:96203.9|-193434.9:93932.9|-191816.8:89260.8|-191115.8:85612.9|-189585.4:80963|-188609.5:78447.2|-187602.8:76131.7|-186669.7:74262.7|-185667.9:72521.6|-184536.4:70678.2|-184061.1:69937.9|-182539.8:67055.8|-181036.8:63968.9|-180529.2:62573|-180250.2:61420.8|-180312.6:60118.4|-180551.6:58535.4|-181069.7:56787.7|-181603.9:55805.8|-182091.1:55039.9|-183038.3:53980.2|-184163.4:52813.5|-186526:51619.1|-193684.4:47964.4|-197018.6:45670.1
Road_0107,,path,2,-184163.4:52813.5|-182292.3:53424.7|-180510.3:54150.5|-178163.1:55247|-176772.3:55058.9|-175321.1:55093.4|-174316.5:55363.9|-174118.1:55761.3
Road_0108,Rehorststrae,residential,6,-129759.7:44367.7|-123157.9:40005.1|-122789.9:39735.7|-120174.3:38045.8|-115875.4:35242.8
Road_0109,Rehorststrae,residential,6,-127095:33450.5|-124198.3:31410.1|-121481:29426.3|-121113.7:28893.1
Road_0110,Rehorststrae,residential,6,-127095:33450.5|-125267.4:36200.2|-124681.3:37936.7|-123157.9:40005.1
Road_0111,Rehorststrae,residential,6,-124198.3:31410.1|-122182.8:34213.1|-121598.8:35802.7|-120174.3:38045.8
Road_0112,,path,2,-115060.8:22927.5|-113837.5:22112.6|-135453.7:-10667.8|-140760.6:-13486.4|-141446.3:-13901.6|-142041.5:-14562.9|-143097.2:-15865.3|-144687.2:-18024.9|-145088.2:-18783|-145563.5:-19891.8
Road_0113,,path,2,-115060.8:22927.5|-116551.2:20659.9
Road_0114,,path,2,-116551.2:20659.9|-109856.2:16317.3
Road_0115,,path,2,-109856.2:16317.3|-108283.7:18659.5
Road_0116,Husumer Strae,residential,6,-134518.5:15512.4|-140520.2:21572.7
Road_0117,Glckstadter Strae,residential,6,-144908.8:19609|-137115.2:11589.5
Road_0118,Steinkrgerstrae,residential,6,-148913.9:17913.6|-146796:14992.6|-144199.3:12102.7|-142101.1:10218.1|-139439.2:8189.8
Road_0119,Rektor-Schmitz-Strae,residential,6,-144462.9:696.9|-148862.7:5041.7|-153048:9825.1|-157269:16252.7
Road_0120,Vastersstrae,residential,6,-166495.5:14943.6|-163897.4:11085.2|-159111.4:4550.8|-153987.4:-1693.2|-149835.1:-6385.3
Road_0121,,footway,2,-162268.9:2137.3|-165200:-24.5
Road_0122,Hellewatter Strae,residential,6,-137329:76043.8|-142763.5:69907.8|-144006.5:68054.4
Road_0123,Rothenkruger Strae,residential,6,-138559.3:40086.3|-138103:41017|-138017.4:41878.6|-138097.3:42824.8|-138660.3:44679.4|-139691.5:47424.5|-142175.4:54035.8|-143239.6:56753.2|-144942.4:61101.3|-145299.2:62014.1|-146404.8:62743.3|-146544.3:63293.2|-145891.6:64420.9
Road_0124,Brentanostrae,residential,6,-142175.4:54035.8|-139404.1:55144.6|-135640.2:58250.4|-133781.7:60911
Road_0125,Ballumer Strae,living_street,5,-128574.3:56444.8|-131771.1:53037.3|-137348.6:48447.6|-138039.9:48059.1
Road_0126,Apenrader Strae,service,4,-154903:38134.9|-155187.6:40794.3
Road_0127,Ksergchen,footway,2,-150681.9:53865.5|-145937.9:55706.8
Road_0128,,footway,2,-146553.4:42164.7|-143449.9:21225.4|-143151.2:20402.7
Road_0129,,trunk,12,-61067.2:119104.6|-63306.4:111883.3
Road_0130,,motorway,14,-124013.2:-5166.4|-125967.8:-9981|-128117.2:-15669.4|-130211.2:-21910|-131444.4:-26293.8
Road_0131,,motorway,14,-133963.9:-29062.3|-132869.6:-25704.9|-131527.8:-21490.3|-129369.3:-15217.4|-127198.8:-9600.2|-124011.8:-1965.9|-120634.2:5513.7
Road_0132,,motorway,14,-136443.6:-36868.1|-133963.9:-29062.3
Road_0133,,motorway_link,7,-145207.4:-62756.6|-145215.8:-61157|-144929.1:-59587.4|-143314.6:-54507.8
Road_0134,,motorway_link,7,-137394.2:-35349.7|-135286.8:-28573.6
Road_0135,Vastersstrae,service,4,-159111.4:4550.8|-162268.9:2137.3
Road_0136,Blcherstrae,unclassified,6,106119.6:8491.5|106669.9:8558.3|106829.7:8576.1|108738.7:8787.6|117419.8:9749.4|118006.6:9802.8|119427.6:9933.1|121467:10127.9|123237.9:10245.9|126827.9:10641.1|128835.8:10831.4|129531.2:10906|137181.1:11693.1|141637:12072.7|143370:12220.7|144292.5:12299.7
Road_0137,Wilhelmstrae,residential,6,119057.5:48179.3|122911.2:47837.5|125501.6:47633.8|128188:47042.7
Road_0138,Gellertstrae,residential,6,135500.7:52504.1|128016.2:52208|125376.1:52121.1
Road_0139,Eichstrae,residential,6,128188:47042.7|128016.2:52208|127657.3:60508|127611.7:61558.8|127590:62067.6|127274.5:69365.7
Road_0140,Ksliner Strae,residential,6,13811.4:-171610.9|20132.1:-174843.6|21417.8:-175501.5|29303.3:-179599.2|39634.7:-184969.3
Road_0141,Kempener Strae,unclassified,6,29576.7:-22671.4|30303:-22675.9|30754.4:-22610.2|31145.6:-22515.6|31440.8:-22394.2|31725.4:-22225|32009.3:-21971.2|32230.8:-21702.9|32401.9:-21432.4|32681.6:-20779|32724.4:-20461.7|32714.6:-20226.8|32655:-19977.5|32465.7:-19465.4|32165.6:-18926.6|31060.8:-17038.6
Road_0142,Kempener Strae,secondary,9,38768.2:-6761.6|38576.1:-7459.6|37753:-10451.8|37290.3:-12303.1|36707.1:-14487.2|36517.1:-15907.6|36329.2:-18734|36729.5:-23407.3
Road_0143,Kempener Strae,secondary,9,26758.4:-11832.2|28244:-11934.6|29320.1:-11955.8|29936.3:-11991.4|30669.6:-11968|31142.8:-11909|31553.6:-11822.2|31949.7:-11724.2|32573.7:-11507.1|33070:-11264.5|33635.8:-10919.4|34184.7:-10525.3|34566.8:-10172.4|34891.3:-9810.6|35192.1:-9438.8|36187.6:-8121.9|38912.6:-3058
Road_0144,,path,2,18046.5:185355.6|19001.3:183645.7|19328.7:182500.2|19926:178874.5|20055:177230.3|20216.9:176204|19513.8:174195.8|18659.2:171921.5|18031:170170.4|17679.8:168810.1|17212.2:168274.7|16457.2:168187.8|16484.5:169794.2|16631:170448.7|17288.6:171811.3|17979.9:173518.9|18610.1:174829.2|19637.9:176660.4|20055:177230.3
Road_0145,Neusser Wall,residential,6,135883.4:130460.4|137301:130940.1|138279.6:131032.5|145289.4:127605|154543.3:123077.6|157350.3:122031.2|160274.4:121406.7|163288.9:121147.3|163976.7:121073.9|177553.2:121472.4
Road_0146,,path,2,-105975.9:22021.3|-104857:21151.9|-103468.2:20083.2|-101970.8:18930|-95799.4:14119.8|-94810.9:13677.9|-93797.2:14690.9|-82771.8:29399.6|-81204.9:31322.1
Road_0147,,path,2,-81204.9:31322.1|-80693.8:32193.7
Road_0148,,service,4,-53976.1:65688.8|-54223.5:65502.9|-54403.7:65367.1|-55418.1:64208.3|-56003.5:63316.6|-56131.1:63129.6
Road_0149,,path,2,-62854.2:58306.1|-58497.8:64052.4|-57674.8:65197.9|-56283.9:67132.6|-55699.2:67862.9|-55433.6:68184.6
Road_0150,,path,2,-66130.9:60709.5|-64102.8:63628.3|-62010.1:66560.5|-60752.4:68416.2|-60576.5:68941.6|-60585.6:69605.1|-60631.8:70010.3|-60964.8:70781.7|-62152.4:71671.2|-63166.9:72276.7|-64276.6:72651.9
Road_0151,,path,2,-69655.1:63226.4|-67603.1:66176.4|-65539.2:69142|-64310.3:70956.5|-63978:71019.9|-63670.2:71070|-61815.9:69778.7|-61793.5:69487.1
Road_0152,,path,2,-71429.4:73217.4|-66688.2:69988|-65539.2:69142
Road_0153,,path,2,-56532.8:62588.6|-57242.3:63197.5|-58497.8:64052.4|-62010.1:66560.5|-63161.9:67424.3
Road_0154,,path,2,-87332.8:39547.5|-87445:39955
Road_0155,,path,2,-77914.9:57310.9|-80719.1:59456
